project_name,property_type,listing_type,city,locality,furnishing,status,bhk,bathrooms,price_lakh,carpet_area_sqft,price_per_sqft
Ashwin Sheth Edmont Aurelia,Flat,for Sale,Mumbai,Kandivali West,Unfurnished,Under Construction,3,3,296,1009,29335.98
Khandelwal Luxor Wing A,Flat,for Sale,Mumbai,Borivali West,Unfurnished,Under Construction,2,2,134,624,21474.36
Lodha Acenza,Flat,for Sale,Mumbai,Andheri East,Unfurnished,Under Construction,3,4,725,992,73084.68
N Rose Northern Hills,Flat,for Sale,Mumbai,Dahisar East,Unfurnished,Under Construction,3,4,288,1026,28070.18
Agarwal Florence,Flat,for Sale,Mumbai,Goregaon West,Unfurnished,Unknown,3,2,277,881,31441.54
Rustomjee Prive,Flat,for Sale,Mumbai,Bandra East,Unfurnished,Under Construction,3,3,545,1090,50000.0
Lodha Adrina,Flat,for Sale,Mumbai,Worli,Unfurnished,Status,3,4,894,1193,74937.13
Paranjape Aspire,Flat,for Sale,Mumbai,Andheri West,Unfurnished,Under Construction,2,2,225,727,30949.11
Empire Maitri Flora The Legend,Flat,for Sale,Mumbai,Ghatkopar East,Unfurnished,Under Construction,2,2,197,707,27864.21
Rustomjee Balmoral,Flat,for Sale,Mumbai,Chembur,Unfurnished,Under Construction,3,3,945,1671,56552.96
Hubtown Seasons,Flat,for Sale,Mumbai,Chembur,Unfurnished,Under Construction,2,3,304,733,41473.4
Piramal Revanta,Flat,for Sale,Mumbai,Mulund West,Unfurnished,Unknown,3,3,347,1192,29110.74
Godrej Trilogy Seafront,Flat,for Sale,Mumbai,Worli,Unfurnished,Under Construction,3,3,1765,1765,100000.0
Konark Ganesh Chhaya CHSL,Flat,for Sale,Mumbai,Vile Parle East,Unfurnished,Under Construction,2,2,295,695,42446.04
Sheth 72 West,Flat,for Sale,Mumbai,Andheri West,Unfurnished,Unknown,4,4,584,1725,33855.07
L and T Island Cove,Flat,for Sale,Mumbai,Mahim,Unfurnished,Under Construction,3,3,408,1045,39043.06
Sahakar VOGUE77,Flat,for Sale,Mumbai,Goregaon West,Unfurnished,Under Construction,4,4,598,1650,36242.42
Vida Crest,Flat,for Sale,Mumbai,Byculla West,Unfurnished,Under Construction,2,2,275,588,46768.71
Kalpataru Prive,Flat,for Sale,Mumbai,Malabar Hill,Unfurnished,Under Construction,7,8,10908,9008,121092.36
Bellissima,Flat,for Sale,Mumbai,Bandra West,Unfurnished,Under Construction,3,3,757,992,76310.48
Bellanza Phase 1 Wing A B C at The Prestige City,Flat,for Sale,Mumbai,Mulund West,Unfurnished,Under Construction,4,4,563,1707,32981.84
Sahakar Excel Acropolis,Flat,for Sale,Mumbai,Bandra East,Unfurnished,Under Construction,2,2,220,621,35426.73
Platinum Crest,Flat,for Sale,Mumbai,Andheri West,Unfurnished,Under Construction,2,2,224,610,36721.31
Pebble La Serena Tower 5 Tower 6 and Tower 7,Flat,for Sale,Mumbai,Kandivali West,Unfurnished,Under Construction,3,3,329,1025,32097.56
Mayfair Mira Pride,Flat,for Sale,Mumbai,Mira Road Area,Unfurnished,Under Construction,2,2,124,689,17997.1
Dosti Mezzo 22,Flat,for Sale,Mumbai,Sion East,Unfurnished,Under Construction,2,2,293,639,45852.9
Platinum Crest,Flat,for Sale,Mumbai,Andheri West,Unfurnished,Under Construction,1,1,152,415,36626.51
Ten BKC,Flat,for Sale,Mumbai,Bandra Kurla Complex,Unfurnished,Unknown,3,2,601,976,61680.33
Neo Smile Belmonte Corner,Flat,for Sale,Mumbai,Borivali West,Unfurnished,Under Construction,3,3,377,1080,34907.41
The Erica,Flat,for Sale,Mumbai,Borivali West,Unfurnished,Under Construction,2,2,273,740,36891.89
